# 🔴 MOVIDO 2026-08-07: vivía en `Maestro/piezas.tsv`, y `Maestro/` está en el .gitignore
# porque es OTRO repositorio con su propio .git (anidarlo sería un repo dentro de otro).
# Daño colateral medido: esta tabla quedó atrapada ahí y NO VIAJABA — un clon la recibía
# ausente y **3 validadores del motor cojeaban** (check-links · check-structure · test-f0-f6).
#
# ⭐ La confusión venía de su propia cabecera: es "hermano de punteros.tsv", pero hermanos por
# FORMATO, no por dueño. `punteros.tsv` declara las RAMAS del Maestro y se queda allí; esta
# declara las PIEZAS DE MENTE, así que es del motor y viaja con él.
# piezas.tsv — FUENTE ÚNICA de dónde vive cada pieza clave del sistema (v2, 2026-07-30)
# Hermano de punteros.tsv: aquel declara las RAMAS, este declara las PIEZAS dentro de una rama.
#
# Por qué existe (medido 2026-07-30): 11 documentos declaraban dónde viven 2 archivos, con 29
# menciones. Mover uno obligaba a corregir 29 lugares a mano — y así fue como el diagrama de la
# arquitectura acabó describiendo rutas que no existen. Mismo criterio que punteros.tsv:
# los documentos REFERENCIAN esta tabla, no la duplican.
#
# Formato (separado por TAB): pieza  ruta  dueno  clase  que_es
#   ruta   = desde la raíz de Mente/ · "repo:<x>" si vive en otro repo
#   clase  = canonical (la verdad) · generated (lo produce un script) · fossil (histórico)
#
# ⚠️ Maestro/ es un repo APARTE con raíz propia: sus rutas se escriben desde Mente/ aquí,
#    pero DENTRO de Maestro/ se escriben sin ese prefijo.
#
# Lo lee: bin/check-structure. Lo verifica: bin/test-f0-f6.
val-pendientes	bin/check-pendings	mente	canonical	forma de un pendiente y de su bloque
val-handoff	bin/verify-handoff	mente	canonical	el traspaso entre sesiones cumple su esquema
suite	bin/verify-all	mente	canonical	los 8 frentes de verificación encadenados
instalador	bin/init	mente	canonical	genera CLAUDE.md, PROJECT-RULES.md y WORKSPACE.md
gen-indice	bin/generate-index	mente	canonical	produce docs/INDEX.md y docs/STATES.md
gen-metricas	bin/generate-metrics	mente	canonical	produce docs/METRICS.md
nuevo-bloque	bin/new-block	mente	canonical	andamiaje de un bloque + mide su grafo
puerta-critica	hooks/gate-critical.py	mente	canonical	bloquea cierres inválidos y BD sin rollback
puerta-secretos	hooks/gate-secrets.py	mente	canonical	fail-closed sobre secrets/
puerta-commit	hooks/pre-commit.sh	mente	canonical	bloquea commit en rama base e índice desfasado
inyector	hooks/pre-edit-standards.py	mente	canonical	inyecta los §D del bloque dueño antes de editar
val-prs	bin/check-prs	mente	canonical	¿cambió el estado de algún PR desde la última mirada?
val-pr-base	bin/check-pr-base	mente	canonical	⛔ la base de un PR es master: el candado del anti-patrón #8
vigia-prs	hooks/watch-prs.py	mente	canonical	avisa de un merge ajeno antes de tocar git, sin preguntar
contrato-campana	rules/contract-campaign.md	mente	canonical	la forma de una campaña: agrupa bloques bajo una misión y unos estándares
val-campanas	bin/check-campaigns	mente	canonical	¿una campaña cumple su contrato? hijos, autoridad, impacto, cierre
val-cuentas	bin/check-accounts	mente	canonical	¿el registro de cuentas coincide con `git remote -v`? el único que compara contra la máquina
conectar-cuenta	bin/conectar-cuenta	mente	canonical	¿con qué cuenta toco este repo? fail-closed si no está registrado
registro-cuentas	cuentas.tsv	mente	canonical	qué cuenta gobierna cada repo y por qué existe — ⛔ nunca lleva un token
conectar-servidor	bin/conectar-servidor	mente	canonical	entrar al servidor For3s leyendo secrets/ — el valor NUNCA se escribe
# ── 🔴 5 piezas que EXISTÍAN y nadie declaraba (2026-08-10) ──────────────────
# Barrido pedido por Brian: "conecta todos los cables sueltos". Las 5 funcionaban y estaban
# invocadas, pero fuera de esta tabla — así que si una desaparece, `check-structure` calla.
# ⭐ Mismo defecto que los 19 validadores del 08-ago: escribir una pieza no es declararla.
vigilante-deriva	bin/flag-stale	mente	canonical	marca un bloque a la deriva a los 14 días
migrador-doc	bin/migrate-doc	mente	canonical	migra un documento v1 a la forma v2
permiso-secretos	bin/secrets-lease	mente	canonical	emite y revoca el permiso vivo de secrets/
puerta-traspaso	hooks/gate-handoff.py	mente	canonical	vigila el traspaso entre sesiones y sub-agentes
arranque-sesion	hooks/session-start.sh	mente	canonical	salud + estructura + PRs al iniciar · habla solo en 🔴
